page_id_from,page_title_from,page_id_to,page_title_to
5323,Computer science,655,Abacus
5323,Computer science,30729888,Academic genealogy of computer scientists
5323,Computer science,974,Ada Lovelace
5323,Computer science,1208,Alan Turing
5323,Computer science,18716923,Algebra
5323,Computer science,402529,Algebraic data types
5323,Computer science,775,Algorithm
5323,Computer science,2484768,Algorithmic trading
5323,Computer science,28783615,Allen Tucker
5323,Computer science,49731,Alonzo Church
5323,Computer science,2230,Analysis of algorithms
5323,Computer science,1271,Analytical Engine
5323,Computer science,24295969,Applied mathematics
5323,Computer science,1212596,Arithmometer
5323,Computer science,1164,Artificial intelligence
5323,Computer science,2928,Association for Computing Machinery
5323,Computer science,4375705,Association for Information Systems
5323,Computer science,103356,Automata theory
5323,Computer science,2483125,Bernard Cohen
5323,Computer science,4964,Bernoulli number
5323,Computer science,291807,Bertrand Meyer
5323,Computer science,4214,Bioinformatics
5323,Computer science,9127632,Biology
5323,Computer science,4037,Bletchley Park
5323,Computer science,54476844,Boolean algebra
5323,Computer science,11912808,Bottleneck (software)
5323,Computer science,1561967,Brian Randell
5323,Computer science,17419879,Cambridge Computer Lab
5323,Computer science,892736,Cambridge Diploma in Computer Science
5323,Computer science,73199,Cambridge University Press
5323,Computer science,5869,Category theory
5323,Computer science,5698,Charles Babbage
5323,Computer science,2896913,Charles Xavier Thomas
5323,Computer science,158949,CiteSeerX
5323,Computer science,5693,Claude Shannon
5323,Computer science,5225,Code
5323,Computer science,41585692,Code.org
5323,Computer science,5626,Cognitive science
5323,Computer science,3300050,Collection of Computer Science Bibliographies
5323,Computer science,420555,Combinatorial optimization
5323,Computer science,291161,Communications of the ACM
5323,Computer science,19550155,Compiler construction
5323,Computer science,62903,Complex systems
5323,Computer science,442136,Computability
5323,Computer science,155414,Computability theory
5323,Computer science,6019,Computational chemistry
5323,Computer science,7543,Computational complexity theory
5323,Computer science,176927,Computational geometry
5323,Computer science,5561,Computational linguistics
5323,Computer science,106418,Computational physics
5323,Computer science,4594672,Computational problem
5323,Computer science,1181008,Computational science
5323,Computer science,15832717,Computational statistics
5323,Computer science,5926,Computation
