page_id_from,page_title_from,page_id_to,page_title_to
5323,Computer science,35458904,Data science
9845,JavaScript,15881,Java (programming language)
9845,JavaScript,27471338,Object-oriented programming
9845,JavaScript,23862,Python (programming language)
9845,JavaScript,29004,SQL
15881,Java (programming language),72038,C++
15881,Java (programming language),9845,JavaScript
15881,Java (programming language),27471338,Object-oriented programming
15881,Java (programming language),23862,Python (programming language)
23862,Python (programming language),72038,C++
23862,Python (programming language),15881,Java (programming language)
23862,Python (programming language),9845,JavaScript
23862,Python (programming language),27471338,Object-oriented programming
26685,Statistics,35458904,Data science
29004,SQL,15881,Java (programming language)
29004,SQL,9845,JavaScript
29004,SQL,23862,Python (programming language)
31927,"University of California, San Diego",21600801,Jacobs School of Engineering
31927,"University of California, San Diego",15881,Java (programming language)
72038,C++,15881,Java (programming language)
72038,C++,27471338,Object-oriented programming
72038,C++,23862,Python (programming language)
72038,C++,29004,SQL
21600801,Jacobs School of Engineering,5323,Computer science
27471338,Object-oriented programming,72038,C++
27471338,Object-oriented programming,15881,Java (programming language)
27471338,Object-oriented programming,9845,JavaScript
27471338,Object-oriented programming,27471338,Object-oriented programming
27471338,Object-oriented programming,23862,Python (programming language)
35458904,Data science,5323,Computer science
35458904,Data science,26685,Statistics
36177168,D3.js,9845,JavaScript
